"","Site_Transect","Nind","NObs","NRep","Site","Transect","Length","Density","Density_km2"
"1","Ambavala_1",9,2,3,"Ambavala",1,1000,0.000209698479567151,209.698479567151
"2","Ambavala_2",0,0,4,"Ambavala",2,1000,0,0
"3","Ambavala_3",0,0,3,"Ambavala",3,1000,0,0
"4","Ambodihasina_1",7,1,4,"Ambodihasina",1,1000,0.000122324113080838,122.324113080838
"5","Ambodihasina_2",0,0,4,"Ambodihasina",2,1000,0,0
"6","Ambodihasina_3",2,1,4,"Ambodihasina",3,1000,3.49497465945251e-05,34.9497465945251
"7","Ambodimandresy_1",0,0,4,"Ambodimandresy",1,1000,0,0
"8","Ambodimandresy_2",6,1,4,"Ambodimandresy",2,1000,0.000104849239783575,104.849239783575
"9","Ambodimandresy_3",0,0,4,"Ambodimandresy",3,1000,0,0
"10","Ambodivoara_1",13,3,48,"Ambodivoara",1,860,2.20129217891873e-05,22.0129217891873
"11","Ambodivoara_2",22,5,45,"Ambodivoara",2,1000,3.41730855590913e-05,34.1730855590912
"12","Ambodivoara_3",23,7,41,"Ambodivoara",3,1000,3.92119108133697e-05,39.2119108133697
"13","Ambodivoara_4",23,4,41,"Ambodivoara",4,1000,3.92119108133697e-05,39.2119108133697
"14","Ambodivoara_5",2,1,2,"Ambodivoara",5,1000,6.98994931890503e-05,69.8994931890503
"15","AmbodivohitraKobahina_1",0,0,3,"AmbodivohitraKobahina",1,1000,0,0
"16","AmbodivohitraKobahina_2",0,0,4,"AmbodivohitraKobahina",2,1000,0,0
"17","AmbodivohitraKobahina_3",0,0,3,"AmbodivohitraKobahina",3,1000,0,0
"18","Androfiabe_1",0,0,4,"Androfiabe",1,1175,0,0
"19","Androfiabe_2",0,0,4,"Androfiabe",2,1250,0,0
"20","Androfiabe_3",0,0,4,"Androfiabe",3,1100,0,0
"21","Antanambe_1",0,0,4,"Antanambe",1,1000,0,0
"22","Antanambe_2",0,1,4,"Antanambe",2,1000,0,0
"23","Antanambe_3",0,1,4,"Antanambe",3,1000,0,0
"24","Befamatra_1",0,0,4,"Befamatra",1,635,0,0
"25","Befamatra_2",0,0,4,"Befamatra",2,1065,0,0
"26","Befamatra_3",7,1,3,"Befamatra",3,780,0.000209101048001433,209.101048001433
"27","Betaolana_1",6,2,5,"Betaolana",1,1300,6.45226090975849e-05,64.5226090975849
"28","Betaolana_2",2,1,3,"Betaolana",2,1000,4.65996621260335e-05,46.5996621260335
"29","Betaolana_3",10,2,4,"Betaolana",3,1200,0.000145623944143855,145.623944143855
